specimenID,GUID_triplet,GUID_url,latitude,longitude,putative_sex,Family,Latin_name,County,year_collected,Na,Mg,Al,P,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Cd,Pb,skull_length,skull_height,skull_width,total_length,tail_length,hindfoot,county_decade_pop,closest_pop,closest_pop_size_atTime,pop_type,distance_to_pop,county_area_m
2917,MMNH:Mamm:2917,https://arctos.database.museum/guid/MMNH:Mamm:2917,44.9444,-93.0931,M,Sciuridae,Sciurus carolinensis,Ramsey,1950,2118.697322,146.6433779,2010.103265,1869.252727,1545.97618,14780.89507,0.115618574,0.453380463,2.25474954,84.46899557,0.054948305,1.496025437,4.650866929,32.19084765,21503.58376,0.646841884,0.152569606,4.062991603,34.81,19.62,27.11,337,193,66,355382,St. Paul,311349,City,1125.905387,440051120.3
5079,MMNH:Mamm:5079,https://arctos.database.museum/guid/MMNH:Mamm:5079,45.0061,-93.1564,F,Muridae,Peromyscus leucopus,Ramsey,1958,3034.557982,509.0400223,219.2176414,2871.300456,5329.266143,2215.282099,0.870198336,2.097303364,20.71349679,468.4635994,0.380868603,3.258227487,22.74675636,124.5559041,255.2113587,0.651823957,2.574711101,77.9442434,15.19,7.98,12.1,170,70,19,422525,Roseville,23997,City,1.324066635,440051120.3
5558,MMNH:Mamm:5558,https://arctos.database.museum/guid/MMNH:Mamm:5558,45.0774,-93.2046,F,Soricidae,Blarina brevicauda,Ramsey,1958,4220.597676,773.9137864,181.9009793,4223.583729,6531.356654,1005.843681,0.215594337,1.365384881,16.90035296,782.5074296,1.029746643,15.73205258,18.44647932,816.9973516,74.59882006,1.442604854,2.022620813,23.95829836,11.58,6.98,12.88,120,23,14,422525,New Brighton,6448,City,1335.471269,440051120.3
6020,MMNH:Mamm:6020,https://arctos.database.museum/guid/MMNH:Mamm:6020,NA,NA,F,Vespertilionidae,Eptesicus fuscus,Ramsey,1960,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.94,5.51,8.81,118,47,12,422525,,NA,,NA,440051120.3
15676,MMNH:Mamm:15676,https://arctos.database.museum/guid/MMNH:Mamm:15676,44.9991,-93.151,M,Sciuridae,Sciurus carolinensis,Ramsey,1979,3038.206181,479.9313271,90.20050611,4396.595012,5800.897662,566.7648541,0.176790216,0.53699454,14.24516833,132.7133542,0.085856441,0.606016234,4.005624954,35.62364079,4.744643228,0.51211362,0.083933685,2.060678732,31.87,19.53,26.49,445,214,64,459784,Roseville,35820,City,887.0236861,440051120.3
9214,MMNH:Mamm:9214,https://arctos.database.museum/guid/MMNH:Mamm:9214,45.0606,-93.0926,M,Muridae,Peromyscus leucopus,Ramsey,1966,26564.17155,438.9213425,23.6292725,3230.514729,6314.097978,378.6702796,0.045691317,0.297395172,8.215037838,81.91729331,0.054615795,0.54617626,8.340068586,84.28650411,22.85563355,0.672293243,0.137522726,3.090140019,15.73,7.97,11.91,162,74,19,476255,Vadnais Heights,3411,City,1534.338679,440051120.3
9216,MMNH:Mamm:9216,https://arctos.database.museum/guid/MMNH:Mamm:9216,45.0606,-93.0926,F,Muridae,Peromyscus leucopus,Ramsey,1966,18128.15974,370.1644858,21.14020426,2659.982758,4971.844306,507.9199101,0.053372713,0.739467498,2.963891864,110.0351081,0.066410052,1.831163877,6.133892455,78.00201174,23.33165593,0.537830241,0.259271929,3.365475302,15.83,7.83,12.16,149,62,20,476255,Vadnais Heights,3411,City,1534.338679,440051120.3
8945,MMNH:Mamm:8945,https://arctos.database.museum/guid/MMNH:Mamm:8945,45.0606,-93.0926,F,Soricidae,Blarina brevicauda,Ramsey,1968,27207.66427,650.2086147,30.23442001,3671.086922,7760.390327,695.5562716,0.091283042,0.52951972,9.984387433,216.052477,0.095053571,0.811937271,8.897203227,1000.324415,27.03584934,0.780666659,1.072034668,9.722108857,11.79,6.97,12.91,127,30,15.5,476255,Vadnais Heights,3411,City,1534.338679,440051120.3
8946,MMNH:Mamm:8946,https://arctos.database.museum/guid/MMNH:Mamm:8946,45.0606,-93.0926,M,Soricidae,Blarina brevicauda,Ramsey,1968,22840.99839,476.3625848,29.51086281,4022.00115,6856.604215,552.3553655,0.101982268,0.853371925,6.66929274,118.1161492,0.094534346,1.978354062,8.379748312,1514.504874,21.43210764,1.296355268,1.135136537,14.03973065,11.31,6.91,12.8,122,29,16,476255,Vadnais Heights,3411,City,1534.338679,440051120.3
9631,MMNH:Mamm:9631,https://arctos.database.museum/guid/MMNH:Mamm:9631,45.0606,-93.0926,M,Muridae,Peromyscus leucopus,Ramsey,1968,41900.97729,408.7833721,39.65007156,3720.136166,6300.449069,465.8591396,0.103142146,0.55842109,3.822359482,112.9480702,0.071848,0.627551506,7.33722087,60.46533444,18.51522513,0.344117499,0.461024343,5.360723781,15.15,7.71,11.88,167,78,19,476255,Vadnais Heights,3411,City,1534.338679,440051120.3
9634,MMNH:Mamm:9634,https://arctos.database.museum/guid/MMNH:Mamm:9634,45.0606,-93.0926,F,Muridae,Peromyscus leucopus,Ramsey,1968,43025.33338,1271.211065,48.95816527,3812.173528,5036.395362,717.8159562,0.349215663,0.480810025,107.1229294,392.8115303,0.211266437,1.199480533,17.04694058,54.02129477,57.282142,0.45051842,0.256251679,6.331904107,14.91,7.95,11.52,152,66,18,476255,Vadnais Heights,3411,City,1534.338679,440051120.3
12360,MMNH:Mamm:12360,https://arctos.database.museum/guid/MMNH:Mamm:12360,44.9917,-93.1661,F,Muridae,Peromyscus leucopus,Ramsey,1973,3233.52824,597.9539448,14.49299173,4578.225848,6822.117955,446.5419621,0.034852756,0.526651576,6.130397722,77.02654943,0.052081118,1.753818527,5.622017947,73.25481479,5.278071283,0.679770824,0.105763044,5.435769046,16,8.35,12.09,169,79,21,476255,Falcon Heights,5530,City,3.388527649,440051120.3
13143,MMNH:Mamm:13143,https://arctos.database.museum/guid/MMNH:Mamm:13143,45.075,-93.1264,M,Soricidae,Blarina brevicauda,Ramsey,1974,2368.395536,497.5460075,29.27745222,2275.28413,4878.706217,1271.978947,0.083651761,0.740606884,13.52699161,98.12253237,0.10238424,8.070287843,24.37705422,105.270311,41.89706492,0.902115803,0.835820129,8.895043721,12.01,6.71,13.1,119,26,14,476255,Shoreview,10978,City,1681.683395,440051120.3
